Company,Tag
MGP AGRO AND MEDIICARE PRIVATE LIMITED,1
P.M.K.S AGRO (INDIA) PRIVATE LIMITED,1
PERIASAMY FARMS PRIVATE LIMITED,1
FUTUREGEN AGRO FARMS PRIVATE LIMITED,1
SHRI KUBERA GANAPATHY FARMS PRIVATE LIMITED,1
SARGURU MILK CENTRE PRODUCER COMPANY LIMITED,1
HARIDHRA HERBALS PRIVATE LIMITED,1
SMSK AGRI FARMS PRIVATE LIMITED,1
DHEVANATHAN ESTATES & PLANTATIONS PRIVATE LIMITED,1
SURABHI BIO-RESURGENCE PRIVATE LIMITED,1
ASTRA DAIRY FARMS PRIVATE LIMITED,1
